Index	Joint	Global orientation	Global position	DOFs	ROMs
0	Pelvis	[[ 1, 0, 0],[ 0, 1, 0],[ 0, 0, 1]]	[0 0 0]	XYZ	FULL
1	HipR	[[ 0, 1, 0],[ 0, 0, 1],[ 1, 0, 0]]	[0 -0.08 0]	XYZ	[(-2.16,0.59),(-0.6,0.6),(-0.3,0.3)]
2	KneeR	[[ 1, 0, 0],[ 0, 1, 0],[ 0, 0, 1]]	[0 -0.08 -0.432]	NYN	[(-0,0),(-0,2.4),(-0,0)]
3	AnkleR	[[ 0, 0, 1],[ 1, 0, 0],[ 0, 1, 0]]	[0 -0.08 -0.865]	NNN	NONE
4	HipL	[[ 0, 1, 0],[ 0, 0, 1],[ 1, 0, 0]]	[0 0.08 0]	XYZ	[(-2.16,0.59),(-0.6,0.6),(-0.3,0.3)]
5	KneeL	[[ 1, 0, 0],[ 0, 1, 0],[ 0, 0, 1]]	[0 0.08 -0.432]	NYN	[(-0,0),(-0,2.4),(-0,0)]
6	AnkleL	[[ 0, 0, 1],[ 1, 0, 0],[ 0, 1, 0]]	[0 0.08 -0.865]	NNN	NONE
7	SpineLow	[[ 0,-1, 0],[ 1, 0, 0],[ 0, 0, 1]]	[0 0 0.15]	XYZ	[(-0.05,0.05),(-0.05,0.05),(-0.05,0.05)]
8	SpineUp	[[ 0,-1, 0],[ 1, 0, 0],[ 0, 0, 1]]	[0 0 0.30631]	XYZ	[(-0.05,0.05),(-0.05,0.05),(-0.05,0.05)]
9	Neck	[[ 0,-1, 0],[ 1, 0, 0],[ 0, 0, 1]]	[0 0 0.61262]	XYN	[(-0.5,0.5),(-0.5,0.5),(-0,0)]
10	Head	[[ 0,-1, 0],[ 1, 0, 0],[ 0, 0, 1]]	[0 0 0.71724]	NNN	NONE
11	ClavicleL	[[ 0, 1, 0],[ 0, 0, 1],[ 1, 0, 0]]	[0 0.04 0.508]	NYZ	[(-0,0),(-0.2,0.2),(-0.2,0.2)]
12	ShoulderL	[[ 0, 1, 0],[ 0, 0, 1],[ 1, 0, 0]]	[0 0.18 0.508]	XYZ	[(-2.8,0.5),(-0.2,2.8),(-0.5,1.6)]
13	ElbowL	[[ 0, 1, 0],[ 0, 0, 1],[ 1, 0, 0]]	[0 0.18 0.22]	NNZ	[(-0,0),(-0,0),(-2.5,0)]
14	WristL	[[ 1, 0, 0],[ 0, 1, 0],[ 0, 0, 1]]	[0 0.18 -0.04]	NNN	NONE
15	ClavicleR	[[ 0, 1, 0],[ 0, 0, 1],[ 1, 0, 0]]	[0 -0.04 0.5]	NYZ	[(-0,0),(-0.2,0.2),(-0.2,0.2)]
16	ShoulderR	[[ 0, 1, 0],[ 0, 0, 1],[ 1, 0, 0]]	[0 -0.18 0.5]	XYZ	[(-2.8,0.5),(-2.8,0.2),(-1.6,0.5)]
17	ElbowR	[[ 0, 1, 0],[ 0, 0, 1],[ 1, 0, 0]]	[0 -0.18 0.22]	NNZ	[(-0,0),(-0,0),(-0,2.5)]
18	WristR	[[ 1, 0, 0],[ 0, 1, 0],[ 0, 0, 1]]	[0 -0.18 -0.04]	NNN	NONE

